Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/13/2008 02,08/13/2008 06,0.25,65920.619,5673.6,1418.64,5673.6
08/13/2008 03,08/13/2008 07,0.25,63205.931,5675.9,1419.22,5675.9
08/13/2008 04,08/13/2008 08,0.25,62009.402,5675.7,1419.16,5675.7
08/13/2008 05,08/13/2008 09,0.25,62032.009,5674.6,1418.87,5674.6
08/13/2008 06,08/13/2008 10,0.25,64883.868,5676.8,1419.36,5676.8
08/13/2008 07,08/13/2008 11,0.25,69647.234,5811.6,1453.09,5811.6
08/13/2008 08,08/13/2008 12,0.25,74506.82,5823.9,1456.14,5823.9
08/13/2008 09,08/13/2008 13,0.25,79346.56,5827.6,1457.09,5827.6
08/13/2008 10,08/13/2008 14,0.25,83393.433,5762,1440.67,5762
08/13/2008 11,08/13/2008 15,0.25,87740.408,5732.3,1433.2,5732.3
08/13/2008 12,08/13/2008 16,0.43,91197.12,5761.8,2477.6,5761.8
08/13/2008 13,08/13/2008 17,0.43,94549.834,5808.1,2497.49,5808.1
08/13/2008 14,08/13/2008 18,0.43,97404.634,5808.3,2497.59,5808.3
08/13/2008 15,08/13/2008 19,0.5,99286.498,5789.8,2894.9,5789.8
08/13/2008 16,08/13/2008 20,0.5,100206.136,5779.5,2889.75,5779.5
08/13/2008 17,08/13/2008 21,0.5,100436.271,5779.1,2889.55,5779.1
08/13/2008 18,08/13/2008 22,0.47,99544.984,5803.2,2727.51,5803.2
08/13/2008 19,08/13/2008 23,0.43,96732.942,5808.2,2497.54,5808.2
