Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:49:46 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/13/2008 10,11/13/2008 15,0.1,80972.844,4972.6,497.26,4972.6
11/13/2008 11,11/13/2008 16,0.1,81574.56,4972.4,497.24,4972.4
11/13/2008 12,11/13/2008 17,0.1,81480.583,4973.4,497.34,4973.4
11/13/2008 13,11/13/2008 18,0.1,81115.238,4974.9,497.49,4974.9
11/13/2008 14,11/13/2008 19,0.1,80604.644,4976.2,497.62,4976.2
11/13/2008 15,11/13/2008 20,0.1,79839.615,4977.5,497.75,4977.5
11/13/2008 16,11/13/2008 21,0.1,79396.678,4979.5,497.95,4979.5
11/13/2008 17,11/13/2008 22,0.1,81031.849,4973.6,497.36,4973.6
11/13/2008 18,11/13/2008 23,0.1,85096.1,4950.301,495.03,4950.301
11/13/2008 19,11/14/2008 00,0.1,85731.235,4951.7,495.17,4951.7
11/13/2008 20,11/14/2008 01,0.1,84239.537,4963.6,496.36,4963.6
11/13/2008 21,11/14/2008 02,0.1,81890.247,4966.8,496.68,4966.8
11/13/2008 22,11/14/2008 03,0.1,78180.603,4955.9,495.59,4955.9
11/13/2008 23,11/14/2008 04,0.09,72756.922,4916.6,442.51,4916.6
11/13/2008 24,11/14/2008 05,0,67040.682,4827.2,0,4827.2
11/14/2008 01,11/14/2008 06,0,62568.955,4802,0,4802
11/14/2008 02,11/14/2008 07,0,60222.301,4803,0,4803
11/14/2008 03,11/14/2008 08,0,58907.718,4805.1,0,4805.1
11/14/2008 04,11/14/2008 09,0,58649.772,4802.9,0,4802.9
11/14/2008 05,11/14/2008 10,0,59670.491,4801.8,0,4801.8
11/14/2008 06,11/14/2008 11,0,63679.06,4793.5,0,4793.5
11/14/2008 07,11/14/2008 12,0.09,71304.778,4811.1,433.05,4811.1
11/14/2008 08,11/14/2008 13,0.1,75803.605,4780.6,478.06,4780.6
